TABLE NO.     1: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       SIGMA(1,1)   SIGMA(2,1)   SIGMA(2,2)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
          -41 -6.21082E-01  5.85416E+00  9.27969E-01  4.46411E-01 -1.14622E+01  5.69256E+00  1.05223E+03  0.00000E+00  2.16613E+03  5.80616E-03  0.00000E+00  1.40421E-01  0.00000E+00  9.34280E-02  7.84194E-02  0.00000E+00  1.81824E-01  2.39469E-01  5.20173E+00    3848.4900455405200
          -40 -6.25531E-01  5.85281E+00  9.28128E-01  4.99763E-01 -1.15368E+01  5.73130E+00  1.46194E+03  0.00000E+00  2.03721E+03  7.85930E-03  0.00000E+00  1.32356E-01  0.00000E+00  8.60952E-02  7.53487E-02  0.00000E+00  1.43311E-01  2.44387E-01  5.93969E+00    3808.9993067129740
          -39 -6.45550E-01  5.83424E+00  9.27832E-01  4.25429E-01 -1.14830E+01  5.73181E+00  7.98067E+02  0.00000E+00  1.97434E+03  7.51386E-03  0.00000E+00  1.35717E-01  0.00000E+00  9.60674E-02  9.15517E-02  0.00000E+00  8.00124E-02  2.57481E-01  5.82351E+00    3842.0067301304643
          -38 -6.52366E-01  5.82266E+00  9.27655E-01  4.06250E-01 -1.14686E+01  5.49575E+00  1.77504E+03  0.00000E+00  1.77718E+03  8.31739E-03  0.00000E+00  1.35624E-01  0.00000E+00  9.29324E-02  8.83559E-02  0.00000E+00 -3.63746E-03  2.14484E-01  5.82108E+00    3778.2939476825882
          -37 -6.33210E-01  5.83616E+00  9.26530E-01  4.64723E-01 -1.14995E+01  5.63097E+00  1.61165E+03  0.00000E+00  1.79291E+03  8.46299E-03  0.00000E+00  1.07392E-01  0.00000E+00  7.11435E-02  7.16153E-02  0.00000E+00 -2.69383E-02  1.38841E-01  4.50264E+00    3782.7869250859012
          -36 -6.55102E-01  5.82455E+00  9.26423E-01  5.71628E-01 -1.14439E+01  5.53051E+00  1.10919E+03  0.00000E+00  2.07685E+03  8.19851E-03  0.00000E+00  9.07414E-02  0.00000E+00  6.29227E-02  6.90608E-02  0.00000E+00 -7.43092E-02  1.38225E-01  5.16056E+00    3877.7669326921991
          -35 -6.57048E-01  5.82684E+00  9.24792E-01  5.71588E-01 -1.14449E+01  5.94710E+00  1.56914E+03  0.00000E+00  1.94460E+03  7.48366E-03  0.00000E+00  9.39439E-02  0.00000E+00  6.66666E-02  7.72645E-02  0.00000E+00 -8.96137E-02  1.67990E-01  7.13006E+00    3889.3789908134868
          -34 -6.38285E-01  5.84994E+00  9.22236E-01  5.66594E-01 -1.14444E+01  5.48624E+00  9.53561E+02  0.00000E+00  1.97073E+03  6.39133E-03  0.00000E+00  1.09054E-01  0.00000E+00  6.11617E-02  5.87449E-02  0.00000E+00 -2.70193E-01  1.91965E-02  6.46540E+00    3826.6884991527304
          -33 -6.26341E-01  5.86253E+00  9.23446E-01  5.16720E-01 -1.14585E+01  5.61148E+00  1.19141E+03  0.00000E+00  2.06897E+03  7.62252E-03  0.00000E+00  1.09445E-01  0.00000E+00  6.44421E-02  6.50798E-02  0.00000E+00 -2.45783E-01  1.35607E-02  5.72815E+00    3874.6895998217606
          -32 -6.23375E-01  5.86833E+00  9.23651E-01  5.35722E-01 -1.15037E+01  5.54861E+00  8.78830E+02  0.00000E+00  2.08270E+03  8.81087E-03  0.00000E+00  1.31862E-01  0.00000E+00  7.65122E-02  7.34281E-02  0.00000E+00 -2.95982E-01  9.84062E-03  6.06007E+00    4059.7649523643895
          -31 -6.39184E-01  5.85585E+00  9.23639E-01  5.59265E-01 -1.14535E+01  5.70708E+00  1.09356E+03  0.00000E+00  2.25366E+03  7.70033E-03  0.00000E+00  1.52144E-01  0.00000E+00  8.49772E-02  7.22001E-02  0.00000E+00 -3.82215E-01 -3.24833E-02  7.23927E+00    4035.5818579485203
          -30 -6.28730E-01  5.86042E+00  9.23625E-01  5.71369E-01 -1.14673E+01  5.65045E+00  7.28116E+02  0.00000E+00  2.11363E+03  9.03968E-03  0.00000E+00  1.61453E-01  0.00000E+00  8.99226E-02  7.52249E-02  0.00000E+00 -4.40664E-01 -7.84238E-02  6.62643E+00    3930.5262189000732
          -29 -6.35757E-01  5.85310E+00  9.24128E-01  5.23342E-01 -1.14420E+01  5.80681E+00  8.53817E+02  0.00000E+00  1.95623E+03  8.74291E-03  0.00000E+00  1.37452E-01  0.00000E+00  8.45656E-02  7.37945E-02  0.00000E+00 -4.13631E-01 -1.53542E-01  5.65411E+00    3916.4709550838143
